模块,字段,用户填写,备注
基础信息,小程序名称,,必填
基础信息,品牌/项目名称,,可与小程序名称不同
基础信息,行业/业务类型,,如预约/报名/课程/零售/场馆/展示
基础信息,目标用户,,用户画像/地区/消费场景
基础信息,核心目的,,展示/预约/下单/支付/加客服/会员
基础信息,核心转化动作,,例如立即预约/提交报名/添加微信
基础信息,品牌语/一句话定位,,可待定
基础信息,视觉关键词,,如高级/自然/科技/亲子/专业
基础信息,禁忌风格,,不想要的风格
内容资料,Logo,,上传图片或填路径
内容资料,首页主图/视频,,上传素材或填先用示例
内容资料,轮播图,,上传多张图片
内容资料,首页简介文案,,可先用示例
内容资料,服务/商品/项目介绍,,一项一行或另附表
内容资料,团队/人员介绍,,如不需要填删除
内容资料,场地/门店/空间介绍,,
内容资料,案例/作品/用户反馈,,可选
内容资料,客服微信/电话,,可填预留
内容资料,地址/营业时间,,
内容资料,注意事项/FAQ,,
页面需求-首页,是否需要,,
页面需求-首页,主要内容,,
页面需求-列表页,是否需要,,服务/商品/课程/资源列表
页面需求-详情页,是否需要,,图文/价格/规则/按钮
页面需求-预约下单页,是否需要,,日期/时段/人数/联系人
页面需求-订单页,是否需要,,状态/下一步/取消或修改
页面需求-个人中心,是否需要,,用户资料/订单入口
页面需求-客服联系页,是否需要,,二维码/电话/地址
页面需求-后台管理页,是否需要,,订单/库存/内容维护
预约下单规则,是否需要预约,,是/否
预约下单规则,预约类型,,单日/时段/多日/课程/套餐/定制
预约下单规则,可预约日期,,固定日期/长期开放/每周某几天
预约下单规则,时间段,,例如 09:30-12:30
预约下单规则,人数规则,,最少/最多人数
预约下单规则,价格规则,,固定价/按人/按天/按套餐
预约下单规则,定金/支付规则,,不支付/定金/全款/线下确认
预约下单规则,取消/退款规则,,
预约下单规则,成功后下一步,,加微信/待确认/付款/查看订单
预约下单规则,需要填写的信息,,姓名/手机号/备注/人数等
库存资源规则,库存类型,,人数/房间/设备/员工/场地/商品
库存资源规则,库存计算方式,,按天/按时段/按套餐/按资源
库存资源规则,初始库存,,
库存资源规则,库存扣减时机,,提交订单/客服确认/付款后
库存资源规则,库存恢复规则,,取消后恢复/人工恢复
库存资源规则,是否显示余量,,对用户显示/仅后台显示
库存资源规则,特殊冲突规则,,例如同一资源不能重复预约
后台管理,管理员白名单,,微信 openid 或手机号
后台管理,订单列表,,筛选/刷新/状态修改
后台管理,库存总览,,按日期/时段/资源
后台管理,内容维护,,首页文案/图片/客服信息
后台管理,服务商品维护,,新增/编辑/上下架
后台管理,图片上传,,云存储或本地路径
后台管理,Excel 导出,,订单/库存/用户
后台管理,操作日志,,可选
上线准备,小程序主体,,个人/个体工商户/企业
上线准备,AppID,,可暂不填
上线准备,是否需要微信支付,,需要支付通常需商户号
上线准备,云开发环境,,已有/新建/待定
上线准备,域名/服务器,,不用云开发时填写
上线准备,服务类目,,小程序后台选择
上线准备,隐私政策,,必需
上线准备,用户协议,,建议准备
上线准备,审核测试账号,,如需登录
上线准备,上线时间目标,,
素材上传清单,Logo,,文件名/路径
素材上传清单-首页主视觉,是否已提供,,文件名/路径
素材上传清单-轮播图,是否已提供,,文件名/路径
素材上传清单-服务商品图片,是否已提供,,文件名/路径
素材上传清单-团队人员图片,是否已提供,,文件名/路径
素材上传清单-场地门店图片,是否已提供,,文件名/路径
素材上传清单-客服二维码,是否已提供,,对外展示前可脱敏
素材上传清单-其他素材,是否已提供,,文件名/路径
